26, Podd, 336, 38192, 38288, 0, 0, 46320, 44192, 44284, 0, 0, 38384, 41112, 0, 0, 1888, 14712, 16232, 14884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15164, 15644, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13484, 14044, 0, 16436, 0, 0, 0, 0, 0, 0, 0, 28228, 30492, 29436, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 43840, 43928, 44372, 45384, 44512, 45524, 1848, 44016, 44104, 46416, -1, AltN, 2324, 15056, 16600, 16604, 0, HEnd
28, Podd, 336, 27008, 27104, 0, 0, 35136, 33008, 33100, 0, 0, 27200, 29928, 0, 0, 1888, 14936, 17304, 15140, 0, 0, 15460, 15644, 15868, 16052, 0, 0, 0, 0, 16236, 16716, 0, 2184, 0, 0, 8004, 8564, 12228, 12636, 0, 0, 0, 0, 13708, 14268, 0, 17508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 32656, 32744, 33188, 34200, 33328, 34340, 1848, 32832, 32920, 35232, -1, AltN, 2356, 15312, 17672, 17676, 0, HEnd
30, Podd, 336, 25688, 25784, 0, 0, 33816, 31688, 31780, 0, 0, 25880, 28608, 0, 0, 1032, 13264, 14816, 13468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14428, 13748, 0, 1328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12796, 12036, 0, 15020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492, 31336, 31424, 31868, 32880, 32008, 33020, 992, 31512, 31600, 33912, -1, AltN, 1500, 13640, 15184, 15188, 0, HEnd
32, Podd, 336, 37328, 37424, 0, 0, 45456, 43328, 43420, 0, 0, 37520, 40248, 0, 0, 1888, 19104, 21440, 19308, 0, 0, 0, 0, 20188, 19636, 19820, 20004, 0, 0, 21052, 20372, 0, 2184, 0, 0, 0, 0, 3980, 2512, 3100, 3540, 0, 0, 18636, 17876, 0, 21644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 42976, 43064, 43508, 44520, 43648, 44660, 1848, 43152, 43240, 45552, -1, AltN, 2356, 19480, 21808, 21812, 0, HEnd
34, Podd, 336, 43976, 44072, 0, 0, 52104, 49976, 50068, 0, 0, 44168, 46896, 0, 0, 1888, 19512, 22096, 19732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21876, 20012, 0, 2200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18180, 16236, 0, 22300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 49624, 49712, 50156, 51168, 50296, 51308, 1848, 49800, 49888, 52200, -1, AltN, 2372, 19904, 22464, 22468, 0, HEnd
36, Podd, 336, 34976, 35072, 0, 0, 43104, 40976, 41068, 0, 0, 35168, 37896, 0, 0, 1888, 15760, 17280, 15932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16892, 16212, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15292, 14532, 0, 17484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 40624, 40712, 41156, 42168, 41296, 42308, 1848, 40800, 40888, 43200, -1, AltN, 2324, 16104, 17648, 17652, 0, HEnd
38, Podd, 336, 32840, 32936, 0, 0, 40968, 38840, 38932, 0, 0, 33032, 35760, 0, 0, 1888, 15120, 16640, 15292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15572, 16052, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13892, 14452, 0, 16844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 38488, 38576, 39020, 40032, 39160, 40172, 1848, 38664, 38752, 41064, -1, AltN, 2324, 15464, 17008, 17012, 0, HEnd
40, Podd, 336, 32976, 33168, 33072, 33264, 41672, 39360, 39452, 39540, 39632, 33360, 36184, 36088, 38912, 1904, 9816, 11336, 9988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10268, 10748, 0, 2168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8588, 9148, 0, 11540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 520, 984, 1368, 39008, 39096, 39720, 40736, 39860, 40876, 1864, 39184, 39272, 41768, -1, AltN, 2340, 10160, 11704, 11708, 0, HEnd
42, Podd, 336, 35368, 35464, 0, 0, 43496, 41368, 41460, 0, 0, 35560, 38288, 0, 0, 1888, 15688, 17208, 15860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16140, 16620, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14460, 15020, 0, 17412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 41016, 41104, 41548, 42560, 41688, 42700, 1848, 41192, 41280, 43592, -1, AltN, 2324, 16032, 17576, 17580, 0, HEnd
44, Podd, 336, 39824, 39920, 0, 0, 47952, 45824, 45916, 0, 0, 40016, 42744, 0, 0, 1888, 18024, 19544, 18196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18476, 18956, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16796, 17356, 0, 19748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 45472, 45560, 46004, 47016, 46144, 47156, 1848, 45648, 45736, 48048, -1, AltN, 2324, 18368, 19912, 19916, 0, HEnd
